axis,fpr,tpr,threshold
I/E,0.0,0.0,inf
I/E,0.0,0.0001278935925310142,0.955999211461265
I/E,0.0,0.001918403887965213,0.9354582575865644
I/E,0.0004553734061930783,0.001918403887965213,0.9342648904193281
I/E,0.0004553734061930783,0.00856887069957795,0.9063212205420225
I/E,0.0009107468123861566,0.00856887069957795,0.9052022893082198
I/E,0.0009107468123861566,0.012277784882977363,0.8959186993282913
I/E,0.001366120218579235,0.012277784882977363,0.8957142729489339
I/E,0.001366120218579235,0.01432408236347359,0.8918212419788873
I/E,0.0018214936247723133,0.01432408236347359,0.8912785038842667
I/E,0.0018214936247723133,0.014835656733597647,0.8911259226878928
I/E,0.002276867030965392,0.014835656733597647,0.8908229594025885
I/E,0.002276867030965392,0.015475124696252718,0.8895100531584923
I/E,0.00273224043715847,0.015475124696252718,0.8894211507495515
I/E,0.00273224043715847,0.019567719657245172,0.8834013352046941
I/E,0.0031876138433515485,0.019567719657245172,0.8834009624668964
I/E,0.0031876138433515485,0.022125591507865455,0.8786845791234018
I/E,0.0036429872495446266,0.022125591507865455,0.8786527686123515
I/E,0.0036429872495446266,0.02557871850620284,0.8729292390050031
I/E,0.004098360655737705,0.02557871850620284,0.8726011150684782
I/E,0.004098360655737705,0.03069446220744341,0.8661031336321717
I/E,0.004553734061930784,0.03069446220744341,0.8660933089927437
I/E,0.004553734061930784,0.031206036577567466,0.864696700424673
I/E,0.005009107468123861,0.031206036577567466,0.8646116833821762
I/E,0.005009107468123861,0.037984396981711216,0.8567367779155544
I/E,0.00546448087431694,0.037984396981711216,0.8566740324851654
I/E,0.00546448087431694,0.04118173679498657,0.8531512057001698
I/E,0.005919854280510018,0.04118173679498657,0.8530501251742123
I/E,0.005919854280510018,0.04194909835017266,0.8524504086147936
I/E,0.006375227686703097,0.04194909835017266,0.8524495289084915
I/E,0.006375227686703097,0.04284435349788976,0.8515676419840917
I/E,0.006830601092896175,0.04284435349788976,0.8515629542150907
I/E,0.006830601092896175,0.045658012533572066,0.8490695117112624
I/E,0.007285974499089253,0.045658012533572066,0.8489348388841664
I/E,0.007285974499089253,0.048599565161785395,0.8451506042377979
I/E,0.007741347905282332,0.048599565161785395,0.8451224697776833
I/E,0.007741347905282332,0.04911113953190945,0.8446941146561519
I/E,0.00819672131147541,0.04911113953190945,0.8445859435433928
I/E,0.00819672131147541,0.04936692671697148,0.8442769723569395
