axis,recall,precision,threshold
I/E,1.0,0.7807289066400399,0.009920584005142511
I/E,1.0,0.7808068703814659,0.027983695059425526
I/E,0.999872106407469,0.7807849795266154,0.02886728449846746
I/E,0.999872106407469,0.7808629644426688,0.03188077018612147
I/E,0.999872106407469,0.7809409649385676,0.03333670912679917
I/E,0.999872106407469,0.781018981018981,0.03963741559011693
I/E,0.999872106407469,0.7810970126885802,0.040745550731627875
I/E,0.999872106407469,0.7811750599520384,0.04250797168338025
I/E,0.999872106407469,0.7812531228140301,0.04283218032948615
I/E,0.999872106407469,0.7813312012792325,0.048272512654074416
I/E,0.999872106407469,0.7814092953523238,0.05293178722275792
I/E,0.999872106407469,0.7814874050379849,0.05759096564408963
I/E,0.999872106407469,0.7815655303408977,0.060047039699005655
I/E,0.999744212814938,0.7815436912617476,0.06150757156920507
I/E,0.999744212814938,0.7816218378162184,0.061859331966520104
I/E,0.999744212814938,0.7817,0.06212218324485954
I/E,0.999616319222407,0.7816781678167817,0.06932962786225297
I/E,0.999616319222407,0.781756351270254,0.07726370075944272
I/E,0.9994884256298759,0.7817345203561068,0.07782931613619905
I/E,0.9994884256298759,0.781812725090036,0.08026683327317721
I/E,0.9994884256298759,0.7818909454727364,0.08429077283308097
I/E,0.999360532037345,0.7818691214728837,0.08444228685190368
I/E,0.999360532037345,0.781947363154208,0.08549689391356025
I/E,0.999360532037345,0.7820256204963971,0.08633522536836581
I/E,0.999360532037345,0.7821038935041538,0.08757410228768313
I/E,0.9992326384448139,0.7820820820820821,0.08886350753401072
I/E,0.9992326384448139,0.7821603764140554,0.0896952604175683
I/E,0.999104744852283,0.7821385662795355,0.09061489025105333
I/E,0.999104744852283,0.7822168819465305,0.09122580841042376
I/E,0.999104744852283,0.7822952132986181,0.09179541318531553
I/E,0.999104744852283,0.7823735603405108,0.09183225425270665
I/E,0.9989768512597519,0.7823517628205128,0.09294291427374804
I/E,0.9989768512597519,0.7824301312230793,0.09825915003706917
I/E,0.9988489576672209,0.7824083350030054,0.0984059155950542
I/E,0.9987210640746899,0.7823865344153892,0.09858574024913418
I/E,0.9987210640746899,0.7824649298597195,0.09868681846087374
I/E,0.9987210640746899,0.7825433410161339,0.1001133777181629
I/E,0.9987210640746899,0.7826217678893566,0.10175711350548783
I/E,0.9987210640746899,0.7827002104841134,0.10240891132146714
I/E,0.9985931704821589,0.7826784282277466,0.10243111394278556
I/E,0.9984652768896278,0.78265664160401,0.10266054806192365
I/E,0.9983373832970969,0.7826348506115901,0.10326356951582023
I/E,0.9983373832970969,0.7827133259801464,0.10411091357514513
I/E,0.9982094897045658,0.7826915363016446,0.10436320709852262
I/E,0.9982094897045658,0.7827700330959784,0.1046995423409311
I/E,0.9982094897045658,0.7828485456369108,0.10479214758927935
I/E,0.9982094897045658,0.7829270739291805,0.10514443054577671
I/E,0.9980815961120348,0.7829052969502408,0.10748022344687719
I/E,0.9980815961120348,0.7829838466940905,0.10855229830964573
I/E,0.9980815961120348,0.7830624122014851,0.10936876821573673
I/E,0.9980815961120348,0.7831409934771701,0.10997911169984645
I/E,0.9980815961120348,0.7832195905258932,0.11041234910087495
I/E,0.9980815961120348,0.7832982033524039,0.1106813484735206
I/E,0.9979537025195038,0.7832764505119454,0.11113122758438085
I/E,0.9979537025195038,0.7833550848308403,0.1121442457860761
I/E,0.9979537025195038,0.783433734939759,0.1166405164469947
I/E,0.9978258089269728,0.7834119891555377,0.11667529403534749
I/E,0.9978258089269728,0.7834906607752561,0.11683330601226759
I/E,0.9976979153344417,0.7834689163402632,0.11685248207288912
I/E,0.9975700217419108,0.7834471675371635,0.11745685504394156
I/E,0.9974421281493797,0.7834254143646409,0.11786839006576795
I/E,0.9973142345568488,0.7834036568213784,0.11796791343291481
I/E,0.9973142345568488,0.7834823671254898,0.11796907131342135
I/E,0.9973142345568488,0.7835610932475884,0.11847607003341189
I/E,0.9973142345568488,0.783639835192443,0.12064425716478923
I/E,0.9973142345568488,0.7837185929648242,0.12180629985364072
I/E,0.9973142345568488,0.7837973665695045,0.12198336543939592
I/E,0.9973142345568488,0.7838761560112586,0.12248578564724971
I/E,0.9971863409643177,0.7838544284708957,0.1231365234267444
I/E,0.9970584473717867,0.7838326965614317,0.1234494081995507
I/E,0.9970584473717867,0.783911513323278,0.12352313632325988
I/E,0.9970584473717867,0.7839903459372486,0.1236285918547686
I/E,0.9969305537792557,0.7839686211405008,0.12539897116607998
I/E,0.9968026601867247,0.783946891973446,0.1281325104522452
I/E,0.9968026601867247,0.7840257519364249,0.1282908325962198
I/E,0.9966747665941936,0.7840040241448692,0.12893771221269174
I/E,0.9965468730016627,0.7839822919810846,0.12921896198055666
I/E,0.9965468730016627,0.7840611793117327,0.12951875456916065
I/E,0.9965468730016627,0.7841400825198752,0.12968969666889596
I/E,0.9964189794091316,0.7841183574879227,0.13121356360015415
I/E,0.9964189794091316,0.7841972823351787,0.13366231562248698
I/E,0.9962910858166006,0.7841755586873365,0.13470611394133475
I/E,0.9961631922240696,0.7841538306654585,0.13515404368645428
I/E,0.9961631922240696,0.7842327829238824,0.13530565123971508
I/E,0.9960352986315386,0.7842110562883899,0.13562631448179144
I/E,0.9960352986315386,0.7842900302114804,0.13600679650365838
I/E,0.9959074050390075,0.7842683049652533,0.13628682865892758
I/E,0.9957795114464766,0.7842465753424658,0.13650130213197087
I/E,0.9956516178539455,0.7842248413417952,0.13719011388628732
I/E,0.9956516178539455,0.7843038484787427,0.1374398057491827
I/E,0.9956516178539455,0.784382871536524,0.13818800352098712
I/E,0.9956516178539455,0.7844619105199516,0.13926295465093863
I/E,0.9955237242614146,0.784440189458833,0.14082590045326282
I/E,0.9953958306688835,0.7844184640193509,0.14387394392202554
I/E,0.9952679370763525,0.7843967342001814,0.14443475682682344
I/E,0.9952679370763525,0.7844758064516129,0.1459752804887343
I/E,0.9951400434838215,0.7844540780320597,0.14616224061151048
I/E,0.9951400434838215,0.784533172010486,0.1462516103976853
I/E,0.9951400434838215,0.7846122819401029,0.14657704391305978
I/E,0.9951400434838215,0.7846914078257362,0.1475866111711744
I/E,0.9950121498912905,0.7846696923852748,0.14764991389094145
I/E,0.9950121498912905,0.7847488400242082,0.14807134197519917
I/E,0.9948842562987594,0.7847271259961667,0.14830404390378665
I/E,0.9948842562987594,0.7848062953995157,0.1485001389055637
I/E,0.9948842562987594,0.7848854807789325,0.1495338255503444
I/E,0.9948842562987594,0.7849646821392533,0.14967215451319726
I/E,0.9947563627062285,0.7849429811282672,0.14974049010999363
I/E,0.9946284691136974,0.7849212757367784,0.14993665113503532
I/E,0.9946284691136974,0.7850005046936509,0.15157477055443366
I/E,0.9946284691136974,0.7850797496466788,0.1527437594916342
I/E,0.9945005755211664,0.7850580514891469,0.15299499835664082
I/E,0.9943726819286354,0.7850363489499192,0.15300098670642992
I/E,0.9943726819286354,0.7851156215288296,0.15379826599587895
I/E,0.9942447883361044,0.7850939204201172,0.1538621669423402
I/E,0.9941168947435733,0.7850722149277851,0.15394321119885157
I/E,0.9941168947435733,0.7851515151515152,0.15411636197656242
I/E,0.9939890011510424,0.7851298110920295,0.15413232774382238
I/E,0.9939890011510424,0.7852091331582138,0.1550284054575794
I/E,0.9939890011510424,0.7852884712539153,0.15530562329497977
I/E,0.9939890011510424,0.7853678253839935,0.15543446463800614
I/E,0.9938611075585113,0.7853461344113188,0.15574523715710306
I/E,0.9938611075585113,0.7854255104103497,0.15647852140497265
I/E,0.9938611075585113,0.7855049024562822,0.15653204106534738
I/E,0.9938611075585113,0.785584310553983,0.1583293344012608
I/E,0.9938611075585113,0.7856637347083207,0.15858277902108828
I/E,0.9938611075585113,0.7857431749241658,0.158966849126615
I/E,0.9938611075585113,0.785822631206391,0.1592644427700783
I/E,0.9937332139659804,0.7858009708737864,0.15946770386727957
I/E,0.9937332139659804,0.7858804490745424,0.1599702357915511
I/E,0.9936053203734493,0.7858587902083755,0.16065855114251051
I/E,0.9936053203734493,0.7859382903388973,0.16113542322941987
I/E,0.9934774267809183,0.7859166329421287,0.16123347442830224
I/E,0.9933495331883873,0.7858949711626024,0.16134527768749035
I/E,0.9933495331883873,0.7859744990892532,0.16167841813666506
I/E,0.9933495331883873,0.7860540431130453,0.16202676707164046
I/E,0.9932216395958563,0.7860323886639676,0.1624492508390172
I/E,0.9932216395958563,0.7861119546512805,0.1626551792348758
I/E,0.9930937460033252,0.7860903016805021,0.16292953897508983
I/E,0.9929658524107943,0.7860686443252,0.16405054603458344
I/E,0.9928379588182632,0.7860469825840422,0.1642012770446474
I/E,0.9928379588182632,0.786126582278481,0.16511488955680112
I/E,0.9927100652257322,0.7861049220174194,0.16600161921473583
I/E,0.9927100652257322,0.7861845437050542,0.16661798529486904
I/E,0.9925821716332012,0.7861628849270664,0.1667199716592001
I/E,0.9924542780406702,0.7861412217607132,0.16805429223090146
I/E,0.9924542780406702,0.7862208713272543,0.16814579859949563
I/E,0.9923263844481391,0.7861992096463674,0.1682509778472511
I/E,0.9923263844481391,0.7862788812322659,0.1684137893338446
I/E,0.9921984908556082,0.7862572210398298,0.16932238313852094
I/E,0.9921984908556082,0.7863369146563957,0.16981082920695398
I/E,0.9921984908556082,0.7864166244298023,0.17035010721020408
I/E,0.9920705972630771,0.7863949716139497,0.17048080683433658
I/E,0.9920705972630771,0.7864747034370881,0.1705326152507814
I/E,0.9919427036705462,0.7864530521192455,0.170755185652088
I/E,0.9919427036705462,0.7865328060034479,0.17105572021033974
I/E,0.9918148100780151,0.7865111561866126,0.17237084461993005
I/E,0.9916869164854841,0.7864895019778883,0.17242319922237356
I/E,0.9915590228929531,0.7864678433759383,0.17245764639004227
I/E,0.9915590228929531,0.7865476311250887,0.17273079983245315
I/E,0.9914311293004221,0.786525974025974,0.17277168605892124
I/E,0.991303235707891,0.7865043125317098,0.17338271428969176
I/E,0.9911753421153601,0.786482646640958,0.1741774204024465
I/E,0.9911753421153601,0.7865624682837714,0.17447542976488742
I/E,0.991047448522829,0.7865408038976858,0.17501405398225817
I/E,0.991047448522829,0.7866206476499847,0.17549288064422225
I/E,0.990919554930298,0.7865989847715736,0.1758257211378241
I/E,0.990919554930298,0.7866788506447355,0.17593510244937782
I/E,0.990919554930298,0.7867587327376117,0.17614437196407104
I/E,0.990791661337767,0.786737077282421,0.17627912764653555
I/E,0.990663767745236,0.7867154174283973,0.176774188076758
I/E,0.9905358741527049,0.7866937531742001,0.17707854166539896
I/E,0.990407980560174,0.7866720845184885,0.17731142261755084
I/E,0.990407980560174,0.7867520065020827,0.17749236533192353
I/E,0.990407980560174,0.7868319447266816,0.17803595611426354
I/E,0.9902800869676429,0.7868102835077736,0.17831434831406173
I/E,0.990152193375112,0.7867886178861788,0.17919258804764973
I/E,0.990152193375112,0.7868685842057119,0.1794287914810169
I/E,0.990152193375112,0.7869485667818662,0.17984105678565657
I/E,0.990152193375112,0.7870285656195994,0.17995266874197638
I/E,0.990152193375112,0.7871085807238715,0.18006864787037455
I/E,0.9900242997825809,0.7870869344178952,0.18035681129459977
I/E,0.9900242997825809,0.7871669717307301,0.18059843165752412
I/E,0.9900242997825809,0.7872470253228923,0.1807850132191838
I/E,0.9900242997825809,0.7873270951993491,0.18082284573500565
I/E,0.9900242997825809,0.7874071813650697,0.1814460220942004
I/E,0.9900242997825809,0.7874872838250254,0.18213510880031236
I/E,0.9900242997825809,0.7875674025841897,0.18228443453075527
I/E,0.9898964061900499,0.7875457875457875,0.18244389982593084
I/E,0.9897685125975189,0.7875241681082731,0.18254902689579874
I/E,0.9896406190049879,0.7875025442703033,0.18264874852334823
I/E,0.9896406190049879,0.7875826972010178,0.18278405273745735
I/E,0.9895127254124568,0.7875610749185668,0.18289329304843124
I/E,0.9893848318199259,0.7875394482337371,0.18301448342850882
I/E,0.9892569382273948,0.7875178171451843,0.18337314541486488
